Iteration,My,Sigma
527,3.14354286485855,1.4215673397081
528,3.14060179798858,1.41473740540465
529,3.15276556238674,1.43765406989233
530,3.16001987376273,1.41278656474157
531,3.17650158801753,1.42110388344124
532,3.17274459014052,1.42219509551829
533,3.17176557743423,1.43526034013925
534,3.18064918906988,1.41943402727208
535,3.18208369647785,1.41901077785761
536,3.19423595964138,1.41010237843404
537,3.19041866947967,1.41495159410339
538,3.18249815229136,1.44348800182231
539,3.17629498128652,1.44590341362732
540,3.16967720279288,1.45592756063054
541,3.17151225207731,1.46220096560883
542,3.15440083240843,1.45816428161346
543,3.15584996561397,1.46325287845049
544,3.15161682158904,1.46371848497551
545,3.15400859188011,1.46781580739329
546,3.15670311464463,1.45996519094403
547,3.14052935085374,1.45927294844183
548,3.13056836105294,1.45546671066672
549,3.14021720856116,1.45136891116338
550,3.13980602571136,1.44718018427186
551,3.15777318354886,1.43029413548577
552,3.15777318354886,1.43029413548577
553,3.16426801441197,1.42927293188008
554,3.16302550338906,1.43473338528315
555,3.16693631553246,1.42306675668894
556,3.1580299160346,1.4213163422396
557,3.15285036019185,1.41942121015388
558,3.16125948256161,1.4056788004203
559,3.17467705139064,1.40608292917307
560,3.17884787267646,1.40667106722969
561,3.17001921529156,1.39889653440287
562,3.18300049067496,1.38932114289106
563,3.18734317220436,1.39620267849965
564,3.18103163255755,1.38169195056955
565,3.18103163255755,1.38169195056955
566,3.18819699330514,1.3841014865061
567,3.17758209359621,1.39848965066547
568,3.18974446739969,1.40575569262802
569,3.17634439253085,1.40317691030799
570,3.18156141673428,1.41315636990129
571,3.18585817408076,1.41225320692062
572,3.20332940428542,1.42765236460398
573,3.21326869200662,1.43317960171549
574,3.22234347217093,1.42786270849191
575,3.23100801805216,1.43813251704224
576,3.20838891241542,1.45951623805335
577,3.21723493112566,1.46272561688226
578,3.2175059782791,1.43512877469023
579,3.22359911098349,1.43730227529793
580,3.22978873790304,1.43514863607659
581,3.2450630036733,1.43390268370258
582,3.25509451889331,1.44496086890506
583,3.24774503160024,1.44476865431327
584,3.23605842509271,1.45311201450588
585,3.24680781878622,1.46143408577465
586,3.23809248324559,1.45836790996852
587,3.24363357565669,1.4569413313982
588,3.24363357565669,1.4569413313982
589,3.23564780675871,1.44815237802276
590,3.23158721449505,1.44973901146115
591,3.23718012952076,1.45820632529867
592,3.23890601765968,1.44236159861986
593,3.25732582910106,1.44830965646743
594,3.2572702829517,1.44519244538629
595,3.25644587302112,1.45133435520765
596,3.2538862515012,1.45152608019463
597,3.2421617139025,1.45940838986921
598,3.23251506708563,1.4616529482493
599,3.23251506708563,1.4616529482493
600,3.22351860243867,1.47272032063791
601,3.21501520920207,1.47263330528735
602,3.20514728154295,1.48254496080794
603,3.20474863492876,1.47300430178397
604,3.19984472486391,1.46344107137075
605,3.1942331136658,1.45533100577223
606,3.16806967254033,1.45552339545453
607,3.16904924085575,1.45862479442593
608,3.17189722799397,1.45741735625902
609,3.17189722799397,1.45741735625902
610,3.18684552161174,1.4641119970035
611,3.1714670686142,1.44021497963878
612,3.15692016011741,1.44979625196958
613,3.161409376032,1.45258403247935
614,3.161409376032,1.45258403247935
615,3.16932154542749,1.4514010667072
616,3.16608284659709,1.43380955324712
617,3.16652358667222,1.44371048192244
618,3.16393900920126,1.45268099548587
619,3.17587781108967,1.45821520908325
620,3.18365905955567,1.45919246507248
621,3.17951113247637,1.44852249190889
622,3.18832863238305,1.45484437098451
623,3.17941902863791,1.46222903333751
624,3.1693712429917,1.45140053462318
